name,rating,org_price,offer_price,clean_original_price,clean_offer_price
"MOTOROLA g72 (Meteorite Grey, 128 GB)",4.1,"₹21,999","₹14,999",21999.0,14999.0
"POCO M4 Pro (Cool Blue, 128 GB)",4.3,"₹19,999","₹12,999",19999.0,12999.0
"MOTOROLA g52 (Charcoal Grey, 64 GB)",4.2,"₹17,999","₹10,999",17999.0,10999.0
GREENBERRI VIRAT,3.7,"₹1,499",₹799,1499.0,799.0
"POCO M4 5G (Power Black, 128 GB)",4.2,"₹18,999","₹14,999",18999.0,14999.0
"POCO M4 5G (Power Black, 64 GB)",4.2,"₹15,999","₹12,999",15999.0,12999.0
"MOTOROLA G32 (Satin Silver, 128 GB)",4.2,"₹18,999","₹11,999",18999.0,11999.0
"MOTOROLA G32 (Mineral Gray, 128 GB)",4.2,"₹18,999","₹11,999",18999.0,11999.0
"POCO M4 Pro (Cool Blue, 64 GB)",4.3,"₹17,999","₹11,999",17999.0,11999.0
"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)",4.3,"₹17,490","₹14,490",17490.0,14490.0
"POCO M4 5G (Cool Blue, 64 GB)",4.2,"₹15,999","₹12,999",15999.0,12999.0
"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)",4.4,"₹14,999","₹10,999",14999.0,10999.0
"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)",4.4,"₹14,999","₹10,999",14999.0,10999.0
"MOTOROLA g72 (Polar Blue, 128 GB)",4.1,"₹21,999","₹14,999",21999.0,14999.0
"MOTOROLA g52 (Charcoal Grey, 128 GB)",4.2,"₹19,999","₹12,999",19999.0,12999.0
"MOTOROLA G32 (Mineral Gray, 64 GB)",4.2,"₹16,999","₹10,499",16999.0,10499.0
"POCO M4 Pro (Yellow, 128 GB)",4.3,"₹19,999","₹12,999",19999.0,12999.0
"MOTOROLA g52 (Metallic White, 128 GB)",4.2,"₹19,999","₹12,999",19999.0,12999.0
"realme C55 (Sunshower, 64 GB)",4.4,"₹13,999","₹11,999",13999.0,11999.0
"realme C55 (Rainy Night, 64 GB)",4.4,"₹13,999","₹11,999",13999.0,11999.0
"realme C55 (Rainy Night, 128 GB)",4.5,"₹15,999","₹13,999",15999.0,13999.0
"realme C55 (Sunshower, 64 GB)",4.4,"₹12,999","₹10,999",12999.0,10999.0
"realme C55 (Rainy Night, 64 GB)",4.4,"₹12,999","₹10,999",12999.0,10999.0
"realme C55 (Sunshower, 128 GB)",4.5,"₹15,999","₹13,999",15999.0,13999.0
"POCO M4 Pro (Yellow, 128 GB)",4.3,"₹19,999","₹12,999",19999.0,12999.0
