name,rating,org_price,offer_price
"MOTOROLA g72 (Meteorite Grey, 128 GB)",4.1,"₹21,999","₹14,999"
"POCO M4 Pro (Cool Blue, 128 GB)",4.3,"₹19,999","₹12,999"
"MOTOROLA g52 (Charcoal Grey, 64 GB)",4.2,"₹17,999","₹10,999"
GREENBERRI VIRAT,3.7,"₹1,499",₹799
"POCO M4 5G (Power Black, 128 GB)",4.2,"₹18,999","₹14,999"
"POCO M4 5G (Power Black, 64 GB)",4.2,"₹15,999","₹12,999"
"MOTOROLA G32 (Satin Silver, 128 GB)",4.2,"₹18,999","₹11,999"
"MOTOROLA G32 (Mineral Gray, 128 GB)",4.2,"₹18,999","₹11,999"
"POCO M4 Pro (Cool Blue, 64 GB)",4.3,"₹17,999","₹11,999"
"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)",4.3,"₹17,490","₹14,490"
"POCO M4 5G (Cool Blue, 64 GB)",4.2,"₹15,999","₹12,999"
"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)",4.4,"₹14,999","₹10,999"
"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)",4.4,"₹14,999","₹10,999"
"MOTOROLA g72 (Polar Blue, 128 GB)",4.1,"₹21,999","₹14,999"
"MOTOROLA g52 (Charcoal Grey, 128 GB)",4.2,"₹19,999","₹12,999"
"MOTOROLA G32 (Mineral Gray, 64 GB)",4.2,"₹16,999","₹10,499"
"POCO M4 Pro (Yellow, 128 GB)",4.3,"₹19,999","₹12,999"
"MOTOROLA g52 (Metallic White, 128 GB)",4.2,"₹19,999","₹12,999"
"realme C55 (Sunshower, 64 GB)",4.4,"₹13,999","₹11,999"
"realme C55 (Rainy Night, 64 GB)",4.4,"₹13,999","₹11,999"
"realme C55 (Rainy Night, 128 GB)",4.5,"₹15,999","₹13,999"
"realme C55 (Sunshower, 64 GB)",4.4,"₹12,999","₹10,999"
"realme C55 (Rainy Night, 64 GB)",4.4,"₹12,999","₹10,999"
"realme C55 (Sunshower, 128 GB)",4.5,"₹15,999","₹13,999"
"POCO M4 Pro (Yellow, 128 GB)",4.3,"₹19,999","₹12,999"
"REDMI 10 (Midnight Black, 128 GB)",4.2,"₹16,999","₹11,999"
"REDMI 10 (Shadow Black, 64 GB)",4.3,"₹14,999","₹9,999"
"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",4.4,"₹16,999","₹11,999"
"POCO M4 5G (Yellow, 64 GB)",4.2,"₹15,999","₹12,999"
"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)",4.3,"₹17,490","₹14,490"
"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)",4.3,"₹17,490","₹14,490"
"vivo T1 44W (Starry Sky, 128 GB)",4.5,"₹19,990","₹14,499"
"vivo T1 44W (Midnight Galaxy, 128 GB)",4.5,"₹19,990","₹14,499"
"REDMI 10 (Pacific Blue, 128 GB)",4.2,"₹16,999","₹11,999"
"MOTOROLA g31 (Baby Blue, 128 GB)",4.1,"₹16,999","₹10,999"
"Infinix Hot 20 5G (Blaster Green, 128 GB)",4.2,"₹19,999","₹13,499"
"POCO M5 (Power Black, 128 GB)",4.3,"₹18,999","₹12,499"
"SAMSUNG Galaxy F13 (Nightsky Green, 128 GB)",4.4,"₹16,999","₹11,999"
"Infinix Hot 20 5G (Space Blue, 128 GB)",4.2,"₹19,999","₹13,499"
"SAMSUNG Galaxy F13 (Sunrise Copper, 128 GB)",4.4,"₹16,999","₹11,999"
"REDMI 10 (Caribbean Green, 128 GB)",4.2,"₹16,999","₹11,999"
"realme C33 2023 (Aqua Blue, 128 GB)",,"₹13,999","₹10,499"
"SAMSUNG Galaxy M04 (Dark Blue, 64 GB)",4.1,"₹11,499","₹8,624"
"REDMI 10 Power (Sporty Orange, 128 GB)",4.2,"₹18,999","₹11,995"
"POCO M4 5G (Yellow, 128 GB)",4.2,"₹18,999","₹14,999"
"realme C33 2023 (Sandy Gold, 128 GB)",,"₹13,999","₹10,499"
"POCO M4 Pro (Yellow, 64 GB)",4.3,"₹17,999","₹11,999"
"realme C33 2023 (Night Sea, 128 GB)",,"₹13,999","₹10,499"
"Infinix HOT 20 5G (Racing Black, 64 GB)",4.2,"₹17,999","₹11,499"
"realme 10 (Rush Black, 64 GB)",4.3,"₹15,999","₹13,999"
"POCO M5 (Yellow, 128 GB)",4.3,"₹18,999","₹12,499"
GREENBERRI VIRAT,3.7,"₹1,499",₹799
"realme Narzo 50 (Speed Blue, 64 GB)",4.4,"₹15,999","₹11,980"
"REDMI 10A SPORT (SLATE GREY, 128 GB)",4,"₹13,999","₹10,515"
"POCO M4 Pro 5G (Cool Blue, 64 GB)",4.3,"₹16,999","₹14,999"
"realme Narzo 50 (Speed Black, 64 GB)",4.4,"₹15,999","₹12,780"
"OPPO A17 (Lake Blue, 64 GB)",4.4,"₹14,999","₹12,499"
"Infinix Hot 12 Pro (Lightsaber Green, 128 GB)",4,"₹15,999","₹12,999"
"vivo Y22 (Starlit Blue, 64 GB)",4.3,"₹17,990","₹14,499"
"Infinix Hot 12 Pro (Electric Blue, 128 GB)",4,"₹15,999","₹12,999"
"SAMSUNG Galaxy M13 (Aqua Green, 128 GB)",4.2,"₹17,999","₹13,899"
"REDMI 10 Prime 2022 (Astral White, 64 GB)",4.2,"₹14,999","₹11,990"
"REDMI Note 11S (Polar White, 64 GB)",4.2,"₹19,999","₹14,190"
"vivo Y22 (Metaverse Green, 64 GB)",4.3,"₹17,990","₹14,499"
"Tecno Pova 3 (Tech Silver, 64 GB)",4.3,"₹14,499","₹10,995"
"realme 10 (Clash White, 64 GB)",4.3,"₹15,999","₹13,999"
"MOTOROLA G40 Fusion (Frosted Champagne, 128 GB)",4.2,,"₹19,999"
"Tecno Pova 3 (Electric Blue, 64 GB)",4.3,"₹14,499","₹11,990"
"SAMSUNG GALAXY M13 (Aqua Green, 64 GB)",4.2,"₹14,999","₹11,181"
